Brand,Display_Type,Display_Resolution,Display_size,Response Time,Refresh Rate,Brigthness,Power_Consumption,Warrantly,Price
Samsung,CURVED VA,1920 x 1080,24,4,144,250,35,3,50000
Samsung,FHD IPS,1920 x 1080,27,5,75,200,17,3,49600
Dell,FHD IPS,1920 x 1080,24,8,60,250,18,3,49500
Dell,FHD LED,1920 x 1080,24,5,60,250,15,3,49500
Asus,FHD IPS,1920 x 1080,15.6,14,75,200,13.2,3,49410
Dell,FHD LED,1920 x 1080,24,5,60,250,19,3,49400
Asus,FHD LED,1920 x 1080,24,5,75,250,12,3,49310
HP,FHD LED,1920 x 1080,23.8,5,60,250,52,3,49281
Asus,FHD LED,1920 x 1080,23.8,5,75,250,13.2,3,49200
HP,FHD LED,1920 x 1080,23.8,5,60,250,38,3,49100
Asus,FHD LED,1920 x 1080,31.5,5,76,250,40.5,3,49000
Dell,FHD IPS,1920 x 1080,27,6,75,300,31,3,49000
HP,FHD LED,1920 x 1080,27,5,60,300,32,3,48900
HP,FHD LED,1920 x 1080,23,5,60,250,26,3,48800
Dell,FHD LED,2560 x 1440,27,2,144,350,25.3,3,48698
HP,FHD LED,1920 x 1080,21.5,5,75,300,19,3,48660
HP,FHD IPS,1920 x 1080,24,5,60,250,53,3,48509
HP,FHD LED,1920 x 1080,27,5,60,250,45,3,48500
Asus,FHD LED,1920 x 1080,23.8,5,75,250,16.7,3,48440
HP,FHD IPS,1920 x 1080,24,5,75,300,22,3,48440
Dell,FHD LED,1920 x 1080,24,8,60,300,38,3,48400
Asus,FHD LED,1920 x 1080,23.8,1,75,250,16,3,48330
LG,FHD IPS,1920 x 1080,24,1,144,300,40,3,48300
HP,FHD LED,1920 x 1080,23.8,5,60,250,25,3,48120
HP,FHD LED,1920 x 1080,23.8,5,60,250,26,3,48000
Samsung,CURVED VA,1920 x 1080,24,4,144,250,35,3,48000
HP,HD LED,1920 x 1080,23.8,5,60,250,22,3,48000
Samsung,FHD LED,1920 x 1080,22,5,75,250,22,3,47800
HP,FHD LED,1920 x 1080,24.5,1,144,400,40,3,47738
LG,FHD LED,1920 x 1080,24,5,75,250,25,3,47030
Dell,FHD LED,1920 x 1080,21.5,8,60,250,17,3,47000
LG,FHD IPS,1920 x 1080,22,5,75,250,13.5,3,47000
Samsung,CURVED VA,1920 x 1080,24,4,60,250,24,3,47000
HP,FHD LED,1920 x 1080,23,5,60,250,29,3,46966
Asus,FHD IPS,1920 x 1080,21.5,5,75,250,26,3,46900
